,geometry,WAARNEMING_ID,NAAM,CODE,OMSCHRIJVING,STATUSWAARDE,BEMONSTERINGSHOOGTE,REFERENTIEVLAK,OPDRACHTGEVENDE_INSTANTIE,KWALITEITSWAARDE_CODE,WAARDE_LAATSTE_METING,TIJDSTIP_LAATSTE_METING,PARAMETER_WAT_OMSCHRIJVING,BEMONSTERINGSAPPARAATCODE,BEMONSTERINGSMETHODECODE,BEMONSTERINGSSOORTCODE,BIOTAXONCODE,BIOTAXONTYPE,COMPARTIMENTCODE,EENHEIDCODE,GROOTHEIDCODE,HOEDANIGHEIDCODE,MEETAPPARAATCODE,ORGAANCODE,PARAMETERCODE,TYPERINGCODE,GROEPERINGCODE,WAARDEBEPALINGSTECHNIEKCODE,WAARDEBEPALINGSMETHODECODE,WAARDEBEWERKINGSMETHODECODE,index_right,beleidnaambronhouder,identificatie,beleidbronnaam,beleidbronurl,begingeldigheid,beleidbrondatum,beleidnaam,bronhouder,classificatie1,classificatie2,classificatie3
480,POINT (209170.01738969103 609499.9463397942),8684,"Schiermonnikoog, Waddenzee",schiermonnikoog.waddenzee,"Schiermonnikoog, Waddenzee",Ongecontroleerd,0,NVT,RIKZMON_WAT,00,-62.0,2026-08-24T13:20:00.000Z,Waterhoogte in Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm,8000,NVT,SB,NVT,,OW,cm,WATHTE,NAP,10042,NVT,NVT,NVT,,NVT,other:F007,NVT,0,Rijkswateren,Waddenzee,Omgevingswet,https://wetten.overheid.nl/BWBR0037885/2024-01-01/0,2025-04-01T00:00:00+02:00,2025-04-01T00:00:00+02:00,NNN-Rijksw,54,,,
615,POINT (156480.00531856908 576549.9896817596),9967,"Harlingen, Waddenzee",harlingen.waddenzee,"Harlingen, Waddenzee",Ongecontroleerd,0,NVT,RIKZMON_WAT,00,-59.0,2026-08-24T13:20:00.000Z,Waterhoogte in Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm,8000,NVT,SB,NVT,,OW,cm,WATHTE,NAP,10042,NVT,NVT,NVT,,NVT,other:F007,NVT,0,Rijkswateren,Waddenzee,Omgevingswet,https://wetten.overheid.nl/BWBR0037885/2024-01-01/0,2025-04-01T00:00:00+02:00,2025-04-01T00:00:00+02:00,NNN-Rijksw,54,,,
691,POINT (143870.00713424713 597419.9822211565),10584,"Terschelling, west",terschelling.west,"Terschelling, west",Ongecontroleerd,0,NVT,RIKZMON_WAT,00,-76.0,2026-08-24T13:20:00.000Z,Waterhoogte in Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm,8000,NVT,SB,NVT,,OW,cm,WATHTE,NAP,10042,NVT,NVT,NVT,,NVT,other:F007,NVT,0,Rijkswateren,Waddenzee,Omgevingswet,https://wetten.overheid.nl/BWBR0037885/2024-01-01/0,2025-04-01T00:00:00+02:00,2025-04-01T00:00:00+02:00,NNN-Rijksw,54,,,
707,POINT (179743.03006612838 604896.9891156603),10708,"Ameland, Nes",ameland.nes,"Ameland, Nes",Ongecontroleerd,0,NVT,RIKZ_GOLVEN,00,-66.0,2026-08-24T13:20:00.000Z,Waterhoogte in Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm,8000,NVT,SB,NVT,,OW,cm,WATHTE,NAP,10220,NVT,NVT,NVT,,NVT,other:F046,NVT,0,Rijkswateren,Waddenzee,Omgevingswet,https://wetten.overheid.nl/BWBR0037885/2024-01-01/0,2025-04-01T00:00:00+02:00,2025-04-01T00:00:00+02:00,NNN-Rijksw,54,,,
867,POINT (245500.0326386186 609809.9985174687),12981,Uithuizerwad,uithuizerwad,"voorheen Uithuizerwad, 1",Ongecontroleerd,0,NVT,RIKZ_WAT,00,53.0,2026-08-24T13:20:00.000Z,Waterhoogte in Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm,8000,NVT,SB,NVT,,OW,cm,WATHTE,NAP,10081,NVT,NVT,NVT,,NVT,other:F007,NVT,0,Rijkswateren,Waddenzee,Omgevingswet,https://wetten.overheid.nl/BWBR0037885/2024-01-01/0,2025-04-01T00:00:00+02:00,2025-04-01T00:00:00+02:00,NNN-Rijksw,54,,,
921,POINT (111849.98711498224 553229.9992972258),13505,"Den Helder, Marsdiep",denhelder.marsdiep,"Den Helder, Marsdiep",Ongecontroleerd,0,NVT,RIKZMON_WAT,00,-48.0,2026-08-24T13:20:00.000Z,Waterhoogte in Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm,8000,NVT,SB,NVT,,OW,cm,WATHTE,NAP,10042,NVT,NVT,NVT,,NVT,other:F007,NVT,0,Rijkswateren,Waddenzee,Omgevingswet,https://wetten.overheid.nl/BWBR0037885/2024-01-01/0,2025-04-01T00:00:00+02:00,2025-04-01T00:00:00+02:00,NNN-Rijksw,54,,,
1618,POINT (132030.02871991743 549440.044526853),17972,"Den Oever, Waddenzee voorhaven",denoever.waddenzee.voorhaven,"Den Oever, Waddenzee voorhaven",Ongecontroleerd,0,NVT,RIKZMON_WAT,00,-70.0,2026-08-24T13:20:00.000Z,Waterhoogte in Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm,8000,NVT,SB,NVT,,OW,cm,WATHTE,NAP,10042,NVT,NVT,NVT,,NVT,other:F007,NVT,0,Rijkswateren,Waddenzee,Omgevingswet,https://wetten.overheid.nl/BWBR0037885/2024-01-01/0,2025-04-01T00:00:00+02:00,2025-04-01T00:00:00+02:00,NNN-Rijksw,54,,,
743533,POINT (169249.99977466397 605900.0549534864),4436138,Borndiep,borndiep,Borndiep,Gecontroleerd,-999999999,NVT,RIKZSBW,00,42.0,2008-03-29T23:56:00.000Z,Waterhoogte in Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm,8000,NVT,SB,NVT,,OW,cm,WATHTE,NAP,10005,NVT,NVT,NVT,,NVT,other:F183,NVT,0,Rijkswateren,Waddenzee,Omgevingswet,https://wetten.overheid.nl/BWBR0037885/2024-01-01/0,2025-04-01T00:00:00+02:00,2025-04-01T00:00:00+02:00,NNN-Rijksw,54,,,
824386,POINT (250749.99653686117 607900.0272354316),4915683,"Eemshaven, haven",eemshaven.haven,"Eemshaven, haven",Gecontroleerd,-999999999,NVT,RIKZMON_WAT,25,117.0,2024-09-11T14:00:00.000Z,Waterhoogte in Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm,8000,NVT,SB,NVT,,OW,cm,WATHTE,NAP,10042,NVT,NVT,NVT,,NVT,other:F007,NVT,0,Rijkswateren,Waddenzee,Omgevingswet,https://wetten.overheid.nl/BWBR0037885/2024-01-01/0,2025-04-01T00:00:00+02:00,2025-04-01T00:00:00+02:00,NNN-Rijksw,54,,,
824410,POINT (209170.01738969103 609499.9463397942),4915769,"Schiermonnikoog, Waddenzee",schiermonnikoog.waddenzee,"Schiermonnikoog, Waddenzee",Ongecontroleerd,-999999999,NVT,RIKZMON_WAT,00,90.0,2025-11-27T00:50:00.000Z,Waterhoogte in Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm,8000,NVT,SB,NVT,,OW,cm,WATHTE,NAP,10042,NVT,NVT,NVT,,NVT,other:F007,NVT,0,Rijkswateren,Waddenzee,Omgevingswet,https://wetten.overheid.nl/BWBR0037885/2024-01-01/0,2025-04-01T00:00:00+02:00,2025-04-01T00:00:00+02:00,NNN-Rijksw,54,,,
824415,POINT (179743.03006612838 604896.9891156603),4915785,"Ameland, Nes",ameland.nes,"Ameland, Nes",Ongecontroleerd,-999999999,NVT,RIKZMON_WAT,00,93.0,2025-11-27T00:50:00.000Z,Waterhoogte in Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm,8000,NVT,SB,NVT,,OW,cm,WATHTE,NAP,10042,NVT,NVT,NVT,,NVT,other:F007,NVT,0,Rijkswateren,Waddenzee,Omgevingswet,https://wetten.overheid.nl/BWBR0037885/2024-01-01/0,2025-04-01T00:00:00+02:00,2025-04-01T00:00:00+02:00,NNN-Rijksw,54,,,
824416,POINT (187653.02050237145 601148.0146580162),4915788,"Holwerd, Veersteiger",holwerd.veersteiger,zie kaart HAVKT.ZIP in DONAR,Gecontroleerd,-999999999,NVT,RIKZMON_WAT,00,200.0,2025-01-01T23:50:00.000Z,Waterhoogte in Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm,8000,NVT,SB,NVT,,OW,cm,WATHTE,NAP,10220,NVT,NVT,NVT,,NVT,other:F007,NVT,0,Rijkswateren,Waddenzee,Omgevingswet,https://wetten.overheid.nl/BWBR0037885/2024-01-01/0,2025-04-01T00:00:00+02:00,2025-04-01T00:00:00+02:00,NNN-Rijksw,54,,,
824418,POINT (156480.00531856908 576549.9896817596),4915800,"Harlingen, Waddenzee",harlingen.waddenzee,"Harlingen, Waddenzee",Gecontroleerd,-999999999,NVT,RIKZMON_WAT,00,-19.0,2026-01-01T23:50:00.000Z,Waterhoogte in Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm,8000,NVT,SB,NVT,,OW,cm,WATHTE,NAP,10042,NVT,NVT,NVT,,NVT,other:F007,NVT,0,Rijkswateren,Waddenzee,Omgevingswet,https://wetten.overheid.nl/BWBR0037885/2024-01-01/0,2025-04-01T00:00:00+02:00,2025-04-01T00:00:00+02:00,NNN-Rijksw,54,,,
824421,POINT (143870.00713424713 597419.9822211565),4915816,"Terschelling, west",terschelling.west,"Terschelling, west",Gecontroleerd,-999999999,NVT,RIKZMON_WAT,00,-52.0,2026-01-01T23:50:00.000Z,Waterhoogte in Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm,8000,NVT,SB,NVT,,OW,cm,WATHTE,NAP,10042,NVT,NVT,NVT,,NVT,other:F007,NVT,0,Rijkswateren,Waddenzee,Omgevingswet,https://wetten.overheid.nl/BWBR0037885/2024-01-01/0,2025-04-01T00:00:00+02:00,2025-04-01T00:00:00+02:00,NNN-Rijksw,54,,,
824427,POINT (151484.81579166203 565306.1851964414),4915835,Kornwerderzand Waddenzee buitenhaven,kornwerderzand.waddenzee.buitenhaven,Kornwerderzand Waddenzee buitenhaven,Ongecontroleerd,-999999999,NVT,RIKZMON_WAT,00,88.0,2025-11-27T00:50:00.000Z,Waterhoogte in Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm,8000,NVT,SB,NVT,,OW,cm,WATHTE,NAP,10042,NVT,NVT,NVT,,NVT,other:F007,NVT,0,Rijkswateren,Waddenzee,Omgevingswet,https://wetten.overheid.nl/BWBR0037885/2024-01-01/0,2025-04-01T00:00:00+02:00,2025-04-01T00:00:00+02:00,NNN-Rijksw,54,,,
824434,POINT (132030.02871991743 549440.044526853),4915861,"Den Oever, Waddenzee voorhaven",denoever.waddenzee.voorhaven,"Den Oever, Waddenzee voorhaven",Ongecontroleerd,-999999999,NVT,RIKZMON_WAT,00,66.0,2025-11-27T00:50:00.000Z,Waterhoogte in Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm,8000,NVT,SB,NVT,,OW,cm,WATHTE,NAP,10042,NVT,NVT,NVT,,NVT,other:F007,NVT,0,Rijkswateren,Waddenzee,Omgevingswet,https://wetten.overheid.nl/BWBR0037885/2024-01-01/0,2025-04-01T00:00:00+02:00,2025-04-01T00:00:00+02:00,NNN-Rijksw,54,,,
824442,POINT (111849.98711498224 553229.9992972258),4915886,"Den Helder, Marsdiep",denhelder.marsdiep,"Den Helder, Marsdiep",Gecontroleerd,-999999999,NVT,RIKZMON_WAT,00,-69.0,2026-01-01T23:50:00.000Z,Waterhoogte in Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm,8000,NVT,SB,NVT,,OW,cm,WATHTE,NAP,10042,NVT,NVT,NVT,,NVT,other:F007,NVT,0,Rijkswateren,Waddenzee,Omgevingswet,https://wetten.overheid.nl/BWBR0037885/2024-01-01/0,2025-04-01T00:00:00+02:00,2025-04-01T00:00:00+02:00,NNN-Rijksw,54,,,
896013,POINT (146480.95249004939 592823.9435865843),5151797,Slenk zuid,slenkzuid,Slenk zuid,Ongecontroleerd,-999999999,NVT,NNXXREG_WAT,00,-54.0,1999-12-31T23:50:00.000Z,Waterhoogte in Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm,8000,NVT,SB,NVT,,OW,cm,WATHTE,NAP,10042,NVT,NVT,NVT,,NVT,other:F007,NVT,0,Rijkswateren,Waddenzee,Omgevingswet,https://wetten.overheid.nl/BWBR0037885/2024-01-01/0,2025-04-01T00:00:00+02:00,2025-04-01T00:00:00+02:00,NNN-Rijksw,54,,,
896089,POINT (132030.02871991743 549440.044526853),5152069,"Den Oever, Waddenzee voorhaven",denoever.waddenzee.voorhaven,"Den Oever, Waddenzee voorhaven",Ongecontroleerd,-999999999,NVT,RIKZMON_WAT,00,79.0,1937-01-03T22:40:00.000Z,Waterhoogte in Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm,8000,NVT,SB,NVT,,OW,cm,WATHTE,NAP,10256,NVT,NVT,NVT,,NVT,other:F009,NVT,0,Rijkswateren,Waddenzee,Omgevingswet,https://wetten.overheid.nl/BWBR0037885/2024-01-01/0,2025-04-01T00:00:00+02:00,2025-04-01T00:00:00+02:00,NNN-Rijksw,54,,,
896132,POINT (141758.01485041372 568564.0059316497),5152224,Omdraai,omdraai,Omdraai,Ongecontroleerd,-999999999,NVT,NNXXREG_WAT,00,91.0,1999-10-28T00:50:00.000Z,Waterhoogte in Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm,8000,NVT,SB,NVT,,OW,cm,WATHTE,NAP,10042,NVT,NVT,NVT,,NVT,other:F007,NVT,0,Rijkswateren,Waddenzee,Omgevingswet,https://wetten.overheid.nl/BWBR0037885/2024-01-01/0,2025-04-01T00:00:00+02:00,2025-04-01T00:00:00+02:00,NNN-Rijksw,54,,,
896564,POINT (200086.00805644417 607734.0456984105),5153783,Engelsmanplaat,engelsmanplaat,Engelsmanplaat,Ongecontroleerd,-999999999,NVT,NNXXREG_WAT,00,-56.0,1999-12-31T23:50:00.000Z,Waterhoogte in Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm,8000,NVT,SB,NVT,,OW,cm,WATHTE,NAP,10042,NVT,NVT,NVT,,NVT,other:F007,NVT,0,Rijkswateren,Waddenzee,Omgevingswet,https://wetten.overheid.nl/BWBR0037885/2024-01-01/0,2025-04-01T00:00:00+02:00,2025-04-01T00:00:00+02:00,NNN-Rijksw,54,,,
897090,POINT (199342.0219217618 608781.0324986115),5155592,"Engelsmanplaat, noord",engelsmanplaat.noord,"Engelsmanplaat, noord",Gecontroleerd,-999999999,NVT,NNXXREG_WAT,00,94.0,1989-12-27T09:20:00.000Z,Waterhoogte in Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm,8000,NVT,SB,NVT,,OW,cm,WATHTE,NAP,10169,NVT,NVT,NVT,,NVT,other:F009,NVT,0,Rijkswateren,Waddenzee,Omgevingswet,https://wetten.overheid.nl/BWBR0037885/2024-01-01/0,2025-04-01T00:00:00+02:00,2025-04-01T00:00:00+02:00,NNN-Rijksw,54,,,
897135,POINT (229598.0041537197 611663.0229063556),5155747,Boschwad,boschwad,Boschwad,Ongecontroleerd,-999999999,NVT,NNXXREG_WAT,00,-90.0,1995-12-04T23:50:00.000Z,Waterhoogte in Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm,8000,NVT,SB,NVT,,OW,cm,WATHTE,NAP,10042,NVT,NVT,NVT,,NVT,other:F007,NVT,0,Rijkswateren,Waddenzee,Omgevingswet,https://wetten.overheid.nl/BWBR0037885/2024-01-01/0,2025-04-01T00:00:00+02:00,2025-04-01T00:00:00+02:00,NNN-Rijksw,54,,,
897177,POINT (232160.03152450908 617758.024777798),5155905,Schild noord,schildnoord,Schild noord,Ongecontroleerd,-999999999,NVT,NNXXREG_WAT,00,26.0,1998-12-01T23:50:00.000Z,Waterhoogte in Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm,8000,NVT,SB,NVT,,OW,cm,WATHTE,NAP,10042,NVT,NVT,NVT,,NVT,other:F007,NVT,0,Rijkswateren,Waddenzee,Omgevingswet,https://wetten.overheid.nl/BWBR0037885/2024-01-01/0,2025-04-01T00:00:00+02:00,2025-04-01T00:00:00+02:00,NNN-Rijksw,54,,,
897180,POINT (173623.99899082724 602761.0035498189),5155915,Vrijheidsplaat,vrijheidsplaat,Vrijheidsplaat,Ongecontroleerd,-999999999,NVT,NNXXREG_WAT,00,-124.0,1996-01-31T23:50:00.000Z,Waterhoogte in Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm,8000,NVT,SB,NVT,,OW,cm,WATHTE,NAP,10042,NVT,NVT,NVT,,NVT,other:F007,NVT,0,Rijkswateren,Waddenzee,Omgevingswet,https://wetten.overheid.nl/BWBR0037885/2024-01-01/0,2025-04-01T00:00:00+02:00,2025-04-01T00:00:00+02:00,NNN-Rijksw,54,,,
897425,POINT (139763.0146743396 558106.9847916462),5156759,Breezanddijk,breezanddijk,Breezanddijk,Ongecontroleerd,-999999999,NVT,NNXXREG_WAT,00,64.0,1999-09-13T00:50:00.000Z,Waterhoogte in Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm,8000,NVT,SB,NVT,,OW,cm,WATHTE,NAP,10042,NVT,NVT,NVT,,NVT,other:F007,NVT,0,Rijkswateren,Waddenzee,Omgevingswet,https://wetten.overheid.nl/BWBR0037885/2024-01-01/0,2025-04-01T00:00:00+02:00,2025-04-01T00:00:00+02:00,NNN-Rijksw,54,,,
897528,POINT (239571.01986066444 616054.9681653657),5157132,Horsbornzand,horsbornzand,Horsbornzand,Ongecontroleerd,-999999999,NVT,NNXXREG_WAT,00,75.0,1996-11-26T09:50:00.000Z,Waterhoogte in Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm,8000,NVT,SB,NVT,,OW,cm,WATHTE,NAP,10042,NVT,NVT,NVT,,NVT,other:F007,NVT,0,Rijkswateren,Waddenzee,Omgevingswet,https://wetten.overheid.nl/BWBR0037885/2024-01-01/0,2025-04-01T00:00:00+02:00,2025-04-01T00:00:00+02:00,NNN-Rijksw,54,,,
897578,POINT (169249.99977466397 605900.0549534864),5157300,Borndiep,borndiep,Borndiep,Gecontroleerd,-999999999,NVT,RIKZSBW,00,-10.0,2008-05-05T11:26:00.000Z,Waterhoogte in Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm,8000,NVT,SB,NVT,,OW,cm,WATHTE,NAP,10005,NVT,NVT,NVT,,NVT,other:F183,NVT,0,Rijkswateren,Waddenzee,Omgevingswet,https://wetten.overheid.nl/BWBR0037885/2024-01-01/0,2025-04-01T00:00:00+02:00,2025-04-01T00:00:00+02:00,NNN-Rijksw,54,,,
897588,POINT (225700.00932139394 613900.0307884726),5157331,"Lauwers, zuid",lauwers.zuid,"Lauwers, zuid",Ongecontroleerd,-999999999,NVT,NNXXREG_WAT,00,36.0,1999-09-23T00:50:00.000Z,Waterhoogte in Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm,8000,NVT,SB,NVT,,OW,cm,WATHTE,NAP,10042,NVT,NVT,NVT,,NVT,other:F007,NVT,0,Rijkswateren,Waddenzee,Omgevingswet,https://wetten.overheid.nl/BWBR0037885/2024-01-01/0,2025-04-01T00:00:00+02:00,2025-04-01T00:00:00+02:00,NNN-Rijksw,54,,,
897598,POINT (229829.01041306864 607575.9538269683),5157366,"Zuid Oost Lauwers, oost",zuidoostlauwers.oost,"Zuid Oost Lauwers, oost",Ongecontroleerd,-999999999,NVT,NNXXREG_WAT,00,122.0,1999-09-23T11:50:00.000Z,Waterhoogte in Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm,8000,NVT,SB,NVT,,OW,cm,WATHTE,NAP,10042,NVT,NVT,NVT,,NVT,other:F007,NVT,0,Rijkswateren,Waddenzee,Omgevingswet,https://wetten.overheid.nl/BWBR0037885/2024-01-01/0,2025-04-01T00:00:00+02:00,2025-04-01T00:00:00+02:00,NNN-Rijksw,54,,,
897716,POINT (147700.01683997 581999.9975049143),5157790,"Blauwe Slenk, oost",blauweslenk.oost,"Blauwe Slenk, oost",Ongecontroleerd,-999999999,NVT,NNXXREG_WAT,00,26.0,1999-10-04T00:50:00.000Z,Waterhoogte in Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm,8000,NVT,SB,NVT,,OW,cm,WATHTE,NAP,10042,NVT,NVT,NVT,,NVT,other:F007,NVT,0,Rijkswateren,Waddenzee,Omgevingswet,https://wetten.overheid.nl/BWBR0037885/2024-01-01/0,2025-04-01T00:00:00+02:00,2025-04-01T00:00:00+02:00,NNN-Rijksw,54,,,
897762,POINT (141500.0241350465 575049.9952956529),5157945,Inschot,inschot,Inschot,Ongecontroleerd,-999999999,NVT,NNXXREG_WAT,00,57.0,1996-08-08T04:00:00.000Z,Waterhoogte in Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm,8000,NVT,SB,NVT,,OW,cm,WATHTE,NAP,10042,NVT,NVT,NVT,,NVT,other:F007,NVT,0,Rijkswateren,Waddenzee,Omgevingswet,https://wetten.overheid.nl/BWBR0037885/2024-01-01/0,2025-04-01T00:00:00+02:00,2025-04-01T00:00:00+02:00,NNN-Rijksw,54,,,
897771,POINT (227969.0203433221 608151.9610532694),5157973,Robbengat,robbengat,Robbengat,Ongecontroleerd,-999999999,NVT,NNXXREG_WAT,00,-9.0,1994-12-15T23:50:00.000Z,Waterhoogte in Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm,8000,NVT,SB,NVT,,OW,cm,WATHTE,NAP,10042,NVT,NVT,NVT,,NVT,other:F007,NVT,0,Rijkswateren,Waddenzee,Omgevingswet,https://wetten.overheid.nl/BWBR0037885/2024-01-01/0,2025-04-01T00:00:00+02:00,2025-04-01T00:00:00+02:00,NNN-Rijksw,54,,,
898102,POINT (200086.00805644417 607734.0456984105),5159105,Engelsmanplaat,engelsmanplaat,Engelsmanplaat,Ongecontroleerd,-999999999,NVT,NNXXREG_WAT,00,69.0,1995-12-31T23:50:00.000Z,Waterhoogte in Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm,8000,NVT,SB,NVT,,OW,cm,WATHTE,NAP,10042,NVT,NVT,NVT,,NVT,other:F007,NVT,0,Rijkswateren,Waddenzee,Omgevingswet,https://wetten.overheid.nl/BWBR0037885/2024-01-01/0,2025-04-01T00:00:00+02:00,2025-04-01T00:00:00+02:00,NNN-Rijksw,54,,,
898175,POINT (200086.00805644417 607734.0456984105),5159377,Engelsmanplaat,engelsmanplaat,Engelsmanplaat,Ongecontroleerd,-999999999,NVT,NNXXREG_WAT,00,-10.0,1996-12-17T09:50:00.000Z,Waterhoogte in Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm,8000,NVT,SB,NVT,,OW,cm,WATHTE,NAP,10042,NVT,NVT,NVT,,NVT,other:F007,NVT,0,Rijkswateren,Waddenzee,Omgevingswet,https://wetten.overheid.nl/BWBR0037885/2024-01-01/0,2025-04-01T00:00:00+02:00,2025-04-01T00:00:00+02:00,NNN-Rijksw,54,,,
898229,POINT (184592.98735800956 604006.995115916),5159554,Zuiderspruit,zuiderspruit,Zuiderspruit,Ongecontroleerd,-999999999,NVT,NNXXREG_WAT,00,340.0,1996-08-15T00:50:00.000Z,Waterhoogte in Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm,8000,NVT,SB,NVT,,OW,cm,WATHTE,NAP,10042,NVT,NVT,NVT,,NVT,other:F007,NVT,0,Rijkswateren,Waddenzee,Omgevingswet,https://wetten.overheid.nl/BWBR0037885/2024-01-01/0,2025-04-01T00:00:00+02:00,2025-04-01T00:00:00+02:00,NNN-Rijksw,54,,,
898481,POINT (216465.97198477393 605485.0464937869),5160443,Lutjewad,lutjewad,Lutjewad,Ongecontroleerd,-999999999,NVT,NNXXREG_WAT,00,113.0,1999-09-13T00:50:00.000Z,Waterhoogte in Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm,8000,NVT,SB,NVT,,OW,cm,WATHTE,NAP,10042,NVT,NVT,NVT,,NVT,other:F007,NVT,0,Rijkswateren,Waddenzee,Omgevingswet,https://wetten.overheid.nl/BWBR0037885/2024-01-01/0,2025-04-01T00:00:00+02:00,2025-04-01T00:00:00+02:00,NNN-Rijksw,54,,,
898621,POINT (217950.01446909673 610250.015188952),5160930,Schiermonnikoog.Eilanderbalg,schiermonnikoog.eilanderbalg,Schiermonnikoog.Eilanderbalg,Ongecontroleerd,-999999999,NVT,NNXXREG_WAT,00,172.0,1994-12-04T23:50:00.000Z,Waterhoogte in Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm,8000,NVT,SB,NVT,,OW,cm,WATHTE,NAP,10042,NVT,NVT,NVT,,NVT,other:F007,NVT,0,Rijkswateren,Waddenzee,Omgevingswet,https://wetten.overheid.nl/BWBR0037885/2024-01-01/0,2025-04-01T00:00:00+02:00,2025-04-01T00:00:00+02:00,NNN-Rijksw,54,,,
898761,POINT (197187.9881062099 605126.9829781536),5161420,Smeriggat,smeriggat,Smeriggat,Ongecontroleerd,-999999999,NVT,NNXXREG_WAT,00,75.0,2000-07-06T00:50:00.000Z,Waterhoogte in Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm,8000,NVT,SB,NVT,,OW,cm,WATHTE,NAP,10042,NVT,NVT,NVT,,NVT,other:F007,NVT,0,Rijkswateren,Waddenzee,Omgevingswet,https://wetten.overheid.nl/BWBR0037885/2024-01-01/0,2025-04-01T00:00:00+02:00,2025-04-01T00:00:00+02:00,NNN-Rijksw,54,,,
898832,POINT (239571.01986066444 616054.9681653657),5161673,Horsbornzand,horsbornzand,Horsbornzand,Ongecontroleerd,-999999999,NVT,NNXXREG_WAT,00,-83.0,1998-11-17T23:50:00.000Z,Waterhoogte in Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm,8000,NVT,SB,NVT,,OW,cm,WATHTE,NAP,10042,NVT,NVT,NVT,,NVT,other:F007,NVT,0,Rijkswateren,Waddenzee,Omgevingswet,https://wetten.overheid.nl/BWBR0037885/2024-01-01/0,2025-04-01T00:00:00+02:00,2025-04-01T00:00:00+02:00,NNN-Rijksw,54,,,
898891,POINT (232160.03152450908 617758.024777798),5161875,Schild noord,schildnoord,Schild noord,Ongecontroleerd,-999999999,NVT,NNXXREG_WAT,00,35.0,1994-10-25T15:50:00.000Z,Waterhoogte in Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm,8000,NVT,SB,NVT,,OW,cm,WATHTE,NAP,10042,NVT,NVT,NVT,,NVT,other:F007,NVT,0,Rijkswateren,Waddenzee,Omgevingswet,https://wetten.overheid.nl/BWBR0037885/2024-01-01/0,2025-04-01T00:00:00+02:00,2025-04-01T00:00:00+02:00,NNN-Rijksw,54,,,
898900,POINT (199999.96918139217 602586.9598247408),5161910,Wierumerwad,wierumerwad,1,Ongecontroleerd,-999999999,NVT,RIKZ_WAT,00,7.0,2009-06-29T20:00:00.000Z,Waterhoogte in Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm,8000,NVT,SB,NVT,,OW,cm,WATHTE,NAP,10220,NVT,NVT,NVT,,NVT,other:F007,NVT,0,Rijkswateren,Waddenzee,Omgevingswet,https://wetten.overheid.nl/BWBR0037885/2024-01-01/0,2025-04-01T00:00:00+02:00,2025-04-01T00:00:00+02:00,NNN-Rijksw,54,,,
